c1_0	c1_1	c1_2	c2_0	c2_1	c2_2	protein_id
459181.58141374734	317309.41414656676	296558.8608170299	434696.9131506441	382134.740512486	281158.49575122166	P00000
208524.76566624033	218460.1394436113	227541.81200090755	112364.9586024084	107367.88130083088	126037.63215364906	P00001
347314.7679990672	364902.6662010022	444272.76978941937	228998.6316875048	242245.39420536807	194661.00364527406	P00002
194308.62645946938	227979.41444974692	228246.8448199375	256716.2722451338	293828.44031988113	400765.39336599945	P00003
207863.8916309494	189838.76484863402	203550.87568162623	161987.24451183967	156780.17367927794	159322.67003508398	P00004
28360.63776876388	50126.84649198046	131361.30980242122	98248.22749745421	61104.34097192066	96890.7304579841	P00005
341283.91543525836	380412.7905863092	334193.7073444689	518519.7394976685	458390.27227774	530407.0409199313	P00006
323856.3679827997	358181.43198563	347137.88847473863	210667.99725241802	182917.64112144703	196294.19228543885	P00007
157046.70443827767	139314.44398114565	139544.89280769738	160199.88003854553	162837.59276200275	149336.0941878764	P00008
306379.7236313276	305300.5624558987	206890.14924215057	403785.7634571752	408424.8071905377	408201.97938367154	P00009
217863.06965002793	155431.83046782456	163431.94965833556	140015.64101948342	184049.72705774588	186074.45071018854	P00010
255560.7741483763	341121.9886669636	326403.91246912023	368595.1180283053	340235.83962749754	436589.32039235905	P00011
159481.99992776196	151221.48169983772	142442.00749733098	167172.4330225544	181033.76255849935	200346.94138914827	P00012
306276.82238139195	280568.00611335057	268360.16972715687	494616.2778872045	386906.95376650966	494531.87036178185	P00013
220567.25994150597	208841.40727083824	190115.7856361674	357663.5911176295	338040.28162772884	295079.0555536064	P00014
178168.11086258708	166113.73774564787	172179.84531598966	58827.634513190045	66165.74834200287	66571.75027878124	P00015
329102.4967323072	371997.5468302159	371975.50164507044	427798.9932826905	563558.9696751749	411676.66078107466	P00016
258954.6581685384	330921.2921589063	323877.3774977111	149554.0560237373	148980.41405222073	150843.82421140917	P00017
