c1_0	c1_1	c1_2	c1_3	c1_4	c1_5	c1_6	c1_7	c1_8	c1_9	c2_0	c2_1	c2_2	c2_3	c2_4	c2_5	c2_6	c2_7	c2_8	c2_9	protein_id
423082.76348512294	455185.1836775702	336414.25667312916	372355.6132243583	316722.23365135887	380607.67006299965	407981.852050351	363026.19095085195	327655.7220355769	361716.03586727724	372628.24680235086	440017.43940650043	386530.97048602015	352132.6534463756		378254.31272424845	325831.77936767245	310533.52960689156	429278.26502882125	392254.4833322321	PROT_000000
211923.28610780468	870123.9984799182	381873.90750688553	335053.6881797261	269698.54737360094	569492.0396995562	491779.5429783155		818544.3698179198	413390.3872165458	449053.2406843391	445241.3629652048	1028947.8641401865	455340.51946502394	1109416.0325816805	540536.6971238817	370573.64084673417	1429814.5991729244	492971.26520008617	496394.3675070742	PROT_000001
379066.1913440296	410531.2712773671	163796.72641798187	303323.633016142	344690.44541088643	359118.8577840314	603901.0195097482	493404.54364442645		492238.35237456136	252441.83484866438	201953.70487313622	244451.9975593037	221343.61234713843	299694.9284187153	269524.76550198253	164924.32721733145	111971.8673546859	181417.2986634008	105831.62088666718	PROT_000002
223894.01668484308	183793.68191906493	203255.17009635278	181128.417873897	154764.79750755365	206038.87040491446		178086.75195545342	161255.5221497815	160468.69006074313	140455.21221291024	153712.06371977832	168746.29981257953	152263.281126807	190396.52397007993	209829.77301135645	189989.166268432	161183.25682900072	157885.95934709327	144010.08405394564	PROT_000003
164284.78557818756	165909.59152901545	159703.54351452732	190795.45192983258	156142.5136582013	183475.02629877106	133271.16312821856	158864.18204282416		102370.82704827543	54299.98246296565	63039.07501077796	41195.52405044233	53673.20865486399	65022.399820700724		52847.23722923219	61404.13637129313	59509.612785416786	75840.3708713354	PROT_000004
214294.80294847608	204517.44739801687	214724.21176113494	484886.978196793	276961.4777231596	313176.9372668971	311469.9665145667	202847.67260708095	308666.69226592395	157126.89805900786	605457.2083090184	400340.10395826	635028.1289817512	301259.487132833	375866.3962631723	472294.27291019855	267279.15297226555	714373.364458696	511213.3649601708	519096.819698955	PROT_000005
333161.9638417532	745782.1013757995	251579.03912368216	400292.3731169833	278460.81048432144	211305.09655069	300750.2346413319	298065.0860479711	411051.97056275286	327685.56753833574		871658.1082181053	566172.9256078273	559087.519087661			594304.0789879474	392867.4339745478	924484.3578344618	391572.6786753401	PROT_000006
220560.25271565485	332150.55057593447	302799.6854955735	441992.48478242743	318076.16240339377	314209.2457208167	349477.64184736647	331483.34948973794	216379.47344518566	298888.36929630436	174633.6625472592	123502.69266369338	91343.85935806738	139358.96487953563		118113.00234271676	130320.29009777338	111891.87761645477	98831.36155001578	169046.91641133002	PROT_000007
380796.3415900751	513482.15508892207	416987.34689344646	601248.773731102	940159.556416006	299075.8970313264	694095.3344077085	295224.41490858595	296888.2249215983	484951.7963736978	642452.5245507645	355921.6900367046	537108.6922286254	1510933.4492290688	756831.4823308273	928726.4196613531	761941.9882713027	968715.4643142333	1027580.9997159729	810349.114155612	PROT_000008
226685.4485852369	324121.022329837	654936.9110843262	218700.61521813003	344084.2463988031		358175.3314277139	378994.7899828179	162337.2627267576	552961.8204224566	222046.48942537	246471.2412916594	365419.86515748355	206647.0995878561	193250.02311948224	367992.3701359977	169792.84041834835	199462.60179976537	238958.54611484922	71306.4209115299	PROT_000009
382222.9485304378	241103.69411866396		315406.1711520569	258077.9829929256	236838.65001532566	486823.12497564196	550589.0709050827		186993.21005550787	501087.1918727473	469204.5080167161		317722.16425160307	423328.1945011793	492085.21623692225	245883.33827673562	592388.7070494476	437154.7656743401	614000.1889910081	PROT_000010
178644.02117988415	220291.01507639626	214539.11131954234	206230.4273870637	200489.228365562	203276.44726818998	180445.73579264432	194063.72345909997	199176.84880717885	237407.9472830668	173103.29183671201	195879.2635652708	172167.47291584712	201820.6787842255	195149.4438850746	171002.81835621895	223202.66126133202	178350.36905566644	199549.50663411705	192439.42602478818	PROT_000011
157413.078276265	151525.0505657369	208672.0725565574	192159.00382892514	191402.07643397455	185966.41132763567	177046.6822711875	157576.10106853925	177729.76154528098	186146.6973721927	150219.2810805806	183116.9286872066	192561.74098267747	199014.35822421257	191223.63449752916	168989.70582648375	200894.35580117308	171284.91730334802	176312.37566641445	214443.1484405331	PROT_000012
	464155.1942048536	337675.86331027024	543230.4696605257	559825.2403663798	347793.0894556459	374750.8811722319	588601.1549264039	329679.6384968769	218584.7088867594	248986.30744336633	162843.3648421659	317283.1195572848	253664.88175548767	124396.8089992739	281536.51469162636	185445.62341882536	237109.9847325645		387207.87995122425	PROT_000013
259165.99175278473	263665.3560890274	277387.3209564823	256170.6166367083	280408.3687967677	274660.95031065325	300104.81018343545	194980.2201753369	191394.25349280532	367606.29500363424		1220222.0254982456	613455.406624899	844208.2527701143	1124600.2224322874	937764.3489631676	775781.9824312488	933395.2401205016	838269.0219743107	845812.7255573096	PROT_000014
357698.9485673618	366255.9770373218	223594.69011356207	323252.60476160207	306223.59235410346	350669.9616913248	401016.0827487317	385162.0430868207	392099.2427298067	362972.7493453108	1486812.5947265709	851585.9185611097	943067.3483019744		1225087.4195461352		1071306.1028737854	1209587.3003026904	1160999.8634525267	1094275.8953782367	PROT_000015
126387.25189864694	212123.27962581863	174543.95477687308	192377.64638862983	138254.6123898563	143943.75611915023	149266.6842635741	132554.81145352533	211618.20914651628	146455.29778528222		350239.4562983495	446282.6464742304	543378.2833979755	539754.2321176784	649963.7038366151	590979.9652435381	472679.96498938085	505583.4621538866	583019.231509987	PROT_000016
273795.2363433283	279707.18516293814	194470.44242644176	111164.72023138551	415446.818818837	196178.3521109356	241309.59622596295	103500.32460214313	250322.61262447757	179166.29591775738	109053.71598515245	90137.12488997696		161865.78668566677	164629.7800004921	275318.6019967469	120347.87834391392	91190.0958974051	83833.46466312221	84500.96043689905	PROT_000017
157537.58387317232	208577.82934937795		76026.0903063401	111031.36257685524	252340.38010995384	205064.76043398396	105781.54227753286	168953.26598614134	135731.93105697373	395530.3742911431		109875.84975023854	267298.88897888106	300110.3604577088	310018.08610917453	340151.41356375854	185517.9682203029	234773.62516805407	409815.0831370439	PROT_000018
172917.4188388485	225110.25617114853	185940.2364223889	236790.49772291307	216702.51705223444	164428.3569515345	223604.14544912704	207635.43383007948	204665.4535247586	165465.49933035145	268888.2778817362	238348.54401725123	224470.77214704966	273626.46256540506	249336.94831804352	219829.38756494326	268289.05385509256	339606.03671236313	305290.29331977473	246243.25352525167	PROT_000019
322974.0452031041	431474.4144513476	327949.6018119227	355636.8551754842	364186.3773855517	368152.3564548673	371860.0587185858	403251.15398171823	320599.2388514319	318975.3338477456	395483.9025275095	429743.0614598197	402186.8201559656	346460.5996180423		497587.88882604236	405002.78986977023	394113.21655018826	358477.08561876963	396259.1350663962	PROT_000020
158287.85951903235	209119.0957171101	135355.94569901525	145064.24463291344	141863.33061632665	243277.89730893864	115754.12541999841	203977.68515387253	133481.20764904763		129577.2626019954	79389.18375878142	44558.42480564573	80250.24337107345	69896.39579446697	82699.23855253417	108323.19966713927	127328.35033339517	85273.14635137202	67102.12142066447	PROT_000021
111743.26796115442	221012.45556626577	133072.84267207666	392115.1119519628	168811.88656237625	288020.83034842106	171058.50293773253	183289.95237610783	346659.48157971824	167391.58377856726	379574.0675807319	148704.88914199214		212888.0303228327	304567.26498087205	563338.4780941044	308432.84506142105		339302.9819209582	491423.34509253537	PROT_000022
